preferred_ai,preferred_ai_reason,learning_better_ai,speed_better_ai,comfort_similar,development_complementary,clarity_similar,quality_complementary,hybrid_ideal,blockchain_view_change,ai_learning_rating,would_recommend,hardest_task,ai_potential,suggestions,blockchain_education_view,participant_uuid
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,7,9,"Evet, artık blockchain daha anlaşılır",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_096
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,9,8,7,"Evet, artık blockchain daha anlaşılır",7,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_097
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,7,"Evet, artık blockchain daha anlaşılır",9,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_098
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,8,7,9,"Kısmen, bazı konular netleşti",10,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_099
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,7,8,7,"Evet, artık blockchain daha anlaşılır",10,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_100
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,7,8,9,"Hayır, zaten bilgim vardı",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_101
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,8,8,"Kısmen, bazı konular netleşti",7,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_102
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,9,8,9,"Evet, artık blockchain daha anlaşılır",8,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_103
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,9,8,8,"Evet, artık blockchain daha anlaşılır",10,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_104
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,9,8,7,"Kısmen, bazı konular netleşti",7,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_105
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,7,7,"Evet, artık blockchain daha anlaşılır",7,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_106
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,7,8,"Hayır, zaten bilgim vardı",8,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_107
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,7,7,9,"Evet, artık blockchain daha anlaşılır",9,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_108
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,7,7,8,"Evet, artık blockchain daha anlaşılır",9,Kısmen,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_109
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,8,7,9,"Hayır, zaten bilgim vardı",10,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_110
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,9,8,8,"Evet, artık blockchain daha anlaşılır",8,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_111
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,9,8,9,"Hayır, zaten bilgim vardı",10,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_112
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,7,8,"Hayır, zaten bilgim vardı",7,Kısmen,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_113
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,9,7,7,"Kısmen, bazı konular netleşti",8,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_114
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,9,7,9,"Kısmen, bazı konular netleşti",7,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_115
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,7,8,"Hayır, zaten bilgim vardı",10,Kısmen,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_116
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,9,8,9,"Evet, artık blockchain daha anlaşılır",9,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_117
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,7,9,"Evet, artık blockchain daha anlaşılır",9,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_118
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,9,"Hayır, zaten bilgim vardı",8,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_119
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,7,7,8,"Evet, artık blockchain daha anlaşılır",9,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_120
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,9,7,7,"Hayır, zaten bilgim vardı",10,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_121
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,9,"Evet, artık blockchain daha anlaşılır",7,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_122
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,9,8,8,"Kısmen, bazı konular netleşti",10,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_123
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,9,7,8,"Evet, artık blockchain daha anlaşılır",8,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_124
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,9,8,9,"Hayır, zaten bilgim vardı",7,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_125
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,9,8,8,"Kısmen, bazı konular netleşti",9,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_126
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,8,7,7,"Hayır, zaten bilgim vardı",9,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_127
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,9,8,9,"Kısmen, bazı konular netleşti",7,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_128
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,9,7,7,"Kısmen, bazı konular netleşti",7,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_129
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,8,8,9,"Hayır, zaten bilgim vardı",9,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_130
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,8,8,8,"Kısmen, bazı konular netleşti",10,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_131
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,8,8,7,"Hayır, zaten bilgim vardı",9,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_132
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,9,8,8,"Kısmen, bazı konular netleşti",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_133
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,7,7,7,"Hayır, zaten bilgim vardı",8,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_134
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,8,7,"Evet, artık blockchain daha anlaşılır",8,Kısmen,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_135
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,7,7,8,"Evet, artık blockchain daha anlaşılır",10,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_136
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,7,9,"Evet, artık blockchain daha anlaşılır",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_137
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,7,8,7,"Kısmen, bazı konular netleşti",9,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_138
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,7,7,8,"Hayır, zaten bilgim vardı",7,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_139
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,9,8,7,"Evet, artık blockchain daha anlaşılır",9,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_140
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,9,8,7,"Evet, artık blockchain daha anlaşılır",10,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_141
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,9,7,9,"Kısmen, bazı konular netleşti",8,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_142
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,7,8,9,"Kısmen, bazı konular netleşti",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_143
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,7,8,8,"Evet, artık blockchain daha anlaşılır",9,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_144
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,9,7,8,"Kısmen, bazı konular netleşti",8,Kısmen,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_145
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,9,7,7,"Kısmen, bazı konular netleşti",9,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_146
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,9,7,9,"Evet, artık blockchain daha anlaşılır",10,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_147
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,9,8,9,"Kısmen, bazı konular netleşti",9,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_148
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,7,7,7,"Kısmen, bazı konular netleşti",9,Kısmen,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_149
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,8,8,"Evet, artık blockchain daha anlaşılır",8,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_150
