mental_demand,physical_demand,temporal_demand,performance,effort,frustration,total_cognitive_load,session_id
6,1,6,5,7,6,31,870
4,2,3,8,4,5,20,871
6,1,5,4,5,3,26,872
4,2,4,7,4,5,22,873
3,1,5,9,5,3,18,874
4,3,5,8,4,2,20,875
7,3,4,4,5,3,28,876
7,3,7,4,8,5,36,877
7,3,6,5,6,6,33,878
6,1,8,4,6,6,33,879
7,1,9,5,8,9,39,880
6,2,6,5,8,7,34,881
9,1,7,1,7,7,40,882
6,1,8,6,6,5,30,883
6,1,6,4,7,7,33,884
8,1,8,4,8,9,40,885
9,1,9,2,8,8,43,886
6,2,8,6,7,8,35,887
6,2,7,6,7,7,33,888
3,2,3,8,3,3,16,889
2,3,2,8,4,3,16,890
5,2,4,6,3,5,23,891
4,1,5,7,5,5,23,892
3,2,4,8,2,2,15,893
5,2,3,6,4,3,21,894
8,1,8,4,8,6,37,895
8,3,8,2,8,5,40,896
8,3,6,2,7,8,40,897
7,3,7,4,8,6,37,898
9,3,6,3,8,6,39,899
6,2,8,5,7,8,36,900
